,Type,Date,Set Time,Title,Amount,Currency,Exchange Rate,Category Group Name,Category,Account,Notes,Labels,Status
133,Expense,2023-01-04 13:00:29,13:00,Verna servicing,-7650.0,INR,1.0,Travel,Maintenance,AmitK Savings,,0 Family,None
134,Expense,2023-01-04 09:20:48,09:20,Petrol,-250.0,INR,1.0,Travel,Fuel,AmitK CC,,0 Family,None
135,Expense,2023-01-03 19:15:54,19:15,Idli batter,-35.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
136,Expense,2023-01-03 19:15:33,19:15,Small diary,-20.0,INR,1.0,Household,School,AmitK Savings,,0 Adi,None
138,Expense,2023-01-02 22:20:53,22:20,Supporter,-275.0,INR,1.0,Entertainment,Exercise,AmitK CC,,0 Amit,None
139,Expense,2023-01-02 21:56:36,21:56,Strap for FitBit,-499.0,INR,1.0,Household,HouseholdItems,AmitK CC,,0 Adi,None
141,Expense,2023-01-02 13:12:58,13:12,BigBasket,-203.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
142,Expense,2023-01-02 13:12:44,13:12,BigBasket,-1526.0,INR,1.0,Household,Grocery,Sodexho,,0 Family,None
143,Expense,2023-01-02 10:34:48,10:34,Petrol,-3500.0,INR,1.0,Travel,Fuel,AmitK CC,,Mahabaleshwar_Dec22,None
144,Expense,2023-01-02 10:32:28,10:32,Salads,-500.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Dipti,None
148,Expense,2023-01-01 19:43:35,19:43,IRCTC KYN Pune,-265.0,INR,1.0,Travel,Booking,Dipti Savings,,0 Family,None
149,Expense,2023-01-01 19:37:37,19:37,IRCTC Pune KYN,-536.0,INR,1.0,Travel,Booking,AmitK Savings,,0 Family,None
150,Expense,2023-01-01 14:28:05,14:28,Grocery Navaratna,-102.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
151,Expense,2023-01-01 14:06:41,14:06,Toll Lonavla return,-203.0,INR,1.0,Travel,Travel,AmitK Savings,,NewYear_Dec22,None
152,Expense,2023-01-01 14:06:10,14:06,Party contri,-7700.0,INR,1.0,Entertainment,Party,AmitK Savings,,NewYear_Dec22,None
0,Expense,2022-12-31 14:07:11,14:07,Chips n all,-80.0,INR,1.0,Household,Grocery,AmitK Savings,,NewYear_Dec22,None
1,Expense,2022-12-31 14:07:10,14:07,Petrol,-1000.0,INR,1.0,Travel,Fuel,Wallet,,NewYear_Dec22,None
2,Expense,2022-12-31 14:07:09,14:07,Toll Lonavla,-81.0,INR,1.0,Travel,Travel,AmitK Savings,,NewYear_Dec22,None
3,Expense,2022-12-30 19:39:21,19:39,Veggies,-200.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
4,Expense,2022-12-30 14:51:30,14:51,Milind Bakery,-210.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
5,Expense,2022-12-30 13:54:08,13:54,Amul ice cream,-240.0,INR,1.0,Household,Grocery,Sodexho,,0 Family,None
6,Expense,2022-12-30 11:23:23,11:23,Local train,-15.0,INR,1.0,Travel,Travel,Dipti Savings,,0 Dipti,None
7,Expense,2022-12-30 11:23:01,11:23,Auto Shivaji Nagar,-151.0,INR,1.0,Travel,Cab,Dipti Savings,,0 Dipti,None
8,Expense,2022-12-30 07:00:55,07:00,Nyati Cook,-4000.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
10,Expense,2022-12-30 07:00:36,07:00,Nyati Milk,-1600.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
11,Expense,2022-12-30 07:00:24,07:00,Car clenaing,-700.0,INR,1.0,Household,Monthly,Wallet,,0 Family,None
12,Expense,2022-12-30 07:00:16,07:00,Nyati Newspaper,-170.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
